背く	そむく	to disobey
惨劇	さんげき	tragedy
唐突	とうとつ	abrupt
なりふり	ー	one's appearance
情けない	なさけない	miserable
帝国	ていこく	empire
可哀想	かわいそう	pitiable
縛る	しばる	to tie
慢心	まんしん	self-conceit
滑り出す	すべりだす	to begin sliding
誤差	ごさ	measurement error
控室	ひかえしつ	waiting room
這いつくばる	はいつくばる	to go down hand and knee
累日	るいじつ	いく日も続けること
宴会芸	えんかいげい	party trick
披露	ひろう	announcement
征服	せいふく	conquest
目障り	めざわり	unplesant sight
逆鱗	げきりん	inperial wrath
菩薩	ぼさつ	high monk
自信過剰	じしんかじょう	overconfident
栄誉	えいよ	honor
譲る	ゆずる	to hand over
身ごもる	みごもる	to become pregnant
銅像	どうぞう	bronze statue
誘拐	ゆうかい	kinapping
標的	ひょうてき	target
掘る	ほる	to dig
鉱石	こうせき	ore
愛嬌	あいきょう	afflication
息災	そくさい	good health
暴れる	あばれる	to act violently
廃人	はいじん	disabled person
麻酔薬	ますいやく	anesthetic
鎮静剤	ちんせいざい	painkiller
後遺症	こういしょう	prognostic sympton
慣れる	なれる	to get used to
慎重	しんちょう	careful
来賓室	らいひんしつ	guest room
汚す	よごす	to make dirty
言語道断	ごんごどうだん	outrageous
洗濯代	せんたくだい	laundry charge
手なずける	てなずける	to tame
良心的	りょうしんてき	honest
誠実	せいじつ	sincerity
装う	よそおう	to dress
肩書	かたがき	title(name)
排斥	はいせき	reject
傷痕	きずあと	scar
希少	きしょう	rare
陛下	へいか	your majesty
騒動	そうどう	uproar
磔	はりつけ	crucifixion
派	は	Faction
丁重	ていちょう	polite
弔う	とむらう	to mourn for 
距離	きょり	distance, range
虚しい	むなしい	void
繁栄	はんえい	prospering
謀反	むほん	rebellion
歓喜	かんき	delight
結託	けったく	conspiracy
筒	つつ	pipe

